Provincia,Rango_velocidad_baja (0-25 Mbps),Rango_velocidad_moderada (25-100 Mbps),Rango_velocidad_alta (100 a más Mbps),Otros,Total general
Buenos Aires,878749.0,2748989.0,1069293.0,97634.0,4794665.0
Capital Federal,140292.0,672965.0,631897.0,106772.0,1551926.0
Catamarca,14997.0,45417.0,8215.0,2280.0,70909.0
Chaco,42596.0,68957.0,28201.0,3909.0,143663.0
Chubut,121016.0,27690.0,27.0,20026.0,168759.0
Córdoba,340445.0,465447.0,226158.0,17610.0,1049660.0
Corrientes,58304.0,60176.0,28975.0,7998.0,155453.0
Entre Ríos,118844.0,102649.0,49481.0,0.0,270974.0
Formosa,41910.0,9121.0,10111.0,698.0,61840.0
Jujuy,71002.0,43272.0,3944.0,0.0,118218.0
La Pampa,73879.0,23953.0,304.0,16028.0,114164.0
La Rioja,31109.0,48545.0,6608.0,0.0,86262.0
Mendoza,103569.0,163287.0,4104.0,21144.0,292104.0
Misiones,72755.0,71456.0,33468.0,8590.0,186269.0
Neuquén,67003.0,59021.0,31906.0,2250.0,160180.0
Río Negro,74749.0,38276.0,19423.0,29644.0,162092.0
Salta,108993.0,59630.0,30490.0,6747.0,205860.0
San Juan,71366.0,20605.0,15.0,11840.0,103826.0
San Luis,129510.0,789.0,1568.0,3353.0,135220.0
Santa Cruz,41363.0,7792.0,0.0,1048.0,50203.0
Santa Fe,402200.0,298197.0,168954.0,18340.0,887691.0
Santiago Del Estero,103517.0,7135.0,7853.0,989.0,119494.0
Tierra Del Fuego,50913.0,1790.0,293.0,2264.0,55260.0
Tucumán,93645.0,115413.0,39246.0,15118.0,263422.0
